comuna,num_incendios,area_quemada_ha,region,provincia,temporada,anio,archivo_origen,hoja
Arica,6.0,0.0,XV,Arica,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Camarones,1.0,0.01,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Putre,3.0,0.0,NAN,Parinacota,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
General Lagos,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Camiña,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Colchane,3.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Huara,3.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Calama,4.0,0.0,NAN,El Loa,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Pedro De Atacama,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Copiapó,7.0,0.0,III,Copiapó,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Tierra Amarilla,4.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Vallenar,11.0,0.0,NAN,Huasco,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Alto Del Carmen,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Freirina,3.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Huasco,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Coquimbo,10.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
La Serena,16.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Paihuano,6.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Monte Patria,7.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Ovalle,26.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Canela,1.0,0.0,NAN,Choapa,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Illapel,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Los Vilos,9.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Salamanca,4.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Cabildo,3.0,0.0,V,Petorca,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
La Ligua,18.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Papudo,12.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Petorca,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Zapallar,6.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Calle Larga,2.0,0.0,NAN,Los Andes,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Los Andes,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Rinconada,10.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Esteban,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Catemu,8.0,0.0,NAN,San Felipe,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Llaillay,9.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Panquehue,3.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Putaendo,5.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Felipe,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Santa Maria,5.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Hijuelas,11.0,0.0,NAN,Quillota,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Calera,12.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
La Cruz,5.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Nogales,17.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Quillota,44.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Casablanca,25.0,0.0,NAN,Valparaiso,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Concon,4.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Puchuncavi,8.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Quintero,10.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Valparaiso,74.0,62.8,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Vina Del Mar,23.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Algarrobo,8.0,0.0,NAN,San Antonio,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Cartagena,11.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
El Quisco,2.0,1.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
El Tabo,6.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Antonio,40.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Santo Domingo,21.0,0.06,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Isla De Pascua,24.0,0.0,NAN,Isla De Pascua,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Limache,38.0,0.0,NAN,Marga Marga,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Olmue,10.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Quilpue,19.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Villa Alemana,23.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Rancagua,9.0,0.0,VI,Cachapoal,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Machali,7.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Graneros,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Codegua,4.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Mostazal,7.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Requinoa,4.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Olivar,3.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Rengo,14.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Quinta De Tilcoco,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Malloa,4.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Vicente Tagua Tagua,14.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Donihue,9.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Coinco,7.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Coltauco,12.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Pichidegua,5.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Peumo,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Las Cabras,22.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Fernando,16.0,0.0,NAN,Colchagua,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Chimbarongo,10.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Nancagua,3.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Placilla,2.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Chepica,5.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Santa Cruz,9.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Palmilla,4.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Lolol,11.0,0.3522,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Pumanque,13.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Peralillo,7.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Pichilemu,3.0,0.0,NAN,Cardenal Caro,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Paredones,14.0,7.8999999999999995,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Marchihue,29.0,7.1,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Litueche,28.0,2.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
La Estrella,23.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Navidad,29.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Curico,49.0,0.0,VII,Curico,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Rauco,10.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Romeral,9.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Teno,19.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Vichuquen,13.0,0.44000000000000006,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Licanten,4.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Hualane,17.0,161.68,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Molina,14.0,0.01,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Sagrada Familia,10.0,5.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Talca,48.0,0.0,NAN,Talca,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Clemente,41.0,0.73,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Pelarco,10.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Rio Claro,27.0,0.4,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Pencahue,24.0,100.82,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Maule,41.0,1.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Curepto,19.0,1.17,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Constitucion,48.0,3.6199999999999997,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Empedrado,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Rafael,34.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Linares,51.0,0.0,NAN,Linares,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Yerbas Buenas,27.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Colbun,9.0,0.3,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Longavi,40.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Parral,34.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Retiro,25.0,233.07,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Javier,59.0,34.836999999999996,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Villa Alegre,12.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Cauquenes,54.0,10.049999999999999,NAN,Cauquenes,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Chanco,14.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Pelluhue,8.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Bulnes,18.0,0.0,XVI,Diguillin,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Chillan,50.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Pinto,14.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Chillan Viejo,24.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
El Carmen,16.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Pemuco,14.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Quillon,26.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Ignacio,26.0,7.459999999999999,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Yungay,23.0,1.3,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Cobquecura,3.0,0.0,NAN,Itata,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Coelemu,18.0,0.22999999999999998,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Ninhue,10.0,0.35,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Portezuelo,9.0,3.6580000000000004,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Quirihue,15.0,0.04,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Ranquil,15.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Treguaco,15.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Coihueco,32.0,0.0,NAN,Punilla,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Niquen,12.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Carlos,35.0,0.013,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Fabian,4.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Nicolas,27.0,0.65,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Los Angeles,161.0,16.77,VIII,Bio-Bio,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Laja,32.0,0.77,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Rosendo,18.0,1.6400000000000001,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Yumbel,41.0,15.67,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Cabrero,36.0,0.02,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Tucapel,13.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Quilleco,35.0,0.4,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Santa Barbara,12.0,6.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Alto Bio Bio,10.0,0.1,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Quilaco,7.0,0.38,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Mulchen,93.0,0.63,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Nacimiento,39.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Negrete,17.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Antuco,1.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Concepcion,40.0,0.5,NAN,Concepcion,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Talcahuano,12.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Hualpen,4.0,0.1,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Penco,51.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Tome,91.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Florida,50.0,24.8506,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Hualqui,40.0,0.07,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Santa Juana,15.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Lota,55.0,0.11969999999999999,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Coronel,50.0,0.0,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
San Pedro De La Paz,42.0,0.7999999999999999,NAN,Nan,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
Lebu,103.0,0.1,NAN,Arauco,2023-2024,2023,"10.- Resumen de Ocurrencia y Daño por Comuna, 1985 - 2024_octubre.xlsx",2023-2024
